ctdotgov_name,corpus_name,firm_id,firm_name,n_trials
Crainio Ltda,Crainio Ltda,3313,Crainio Ltda,1
Creabilis SA,Creabilis SA,3314,Creabilis SA,7
"Creative Biosciences (Guangzhou) Co., Ltd.","Creative Biosciences (Guangzhou) Co., Ltd.",3316,"Creative Biosciences (Guangzhou) Co., Ltd.",4
"Creative Medical Health, Inc.","Creative Medical Health, Inc.",3316,"Creative Biosciences (Guangzhou) Co., Ltd.",1
Creative Medical Technology Holdings Inc,Creative Medical Technology Holdings Inc,3316,"Creative Biosciences (Guangzhou) Co., Ltd.",2
Creative Peptides Sweden Inc.,Creative Peptides Sweden Inc.,3316,"Creative Biosciences (Guangzhou) Co., Ltd.",1
Creavo Medical Technologies Ltd,Creavo Medical Technologies Ltd,3319,Creavo Medical Technologies Ltd,3
Credentis AG,Credentis AG,3320,"Neuraly, Inc.",3
Credit Valley EyeCare,Credit Valley EyeCare,3321,Credit Valley EyeCare,4
Creo Medical Limited,Creo Medical Limited,3323,Creo Medical Limited,3
"CreoMed, Inc.","CreoMed, Inc.",3324,"CreoMed, Inc.",1
Crescendo Biologics Ltd.,Crescendo Biologics Ltd.,3326,Crescendo Biologics Ltd.,2
Crescendo Bioscience,Crescendo Bioscience,3326,Crescendo Biologics Ltd.,1
"Crestone, Inc","Crestone, Inc",3327,"Crestone, Inc",1
Crimson Biopharm Inc.,Crimson Biopharm Inc.,3328,Crimson Biopharm Inc.,1
Crinetics Pharmaceuticals Inc.,Crinetics Pharmaceuticals Inc.,3329,Crinetics Pharmaceuticals Inc.,12
Cristal Therapeutics,Cristal Therapeutics,3331,Cristal Therapeutics,2
Cristcot LLC,Cristcot LLC,3333,Cristcot LLC,2
Cristália Produtos Químicos Farmacêuticos Ltda.,Cristália Produtos Químicos Farmacêuticos Ltda.,3332,Cristália Produtos Químicos Farmacêuticos Ltda.,13
"Criterium, Inc.","Criterium, Inc.",3334,"Criterium, Inc.",12
"CritiTech, Inc.","CritiTech, Inc.",3339,"CritiTech, Inc.",1
Critical Biologics Corporation,Critical Biologics Corporation,3338,Critical Therapeutics,1
Critical Outcome Technologies Inc.,Critical Outcome Technologies Inc.,3336,Critical Outcome Technologies Inc.,1
Critical Perfusion Inc.,Critical Perfusion Inc.,9387,Advanced Perfusion Diagnostics,1
Critical Therapeutics,Critical Therapeutics,3338,Critical Therapeutics,5
CroiValve Limited,CroiValve Limited,3340,CroiValve Limited,2
Croma-Pharma GmbH,Croma-Pharma GmbH,3341,Croma-Pharma GmbH,22
Cropper Medical,Cropper Medical,3342,Cropper Medical,1
Crospon,Crospon,3343,Crospon,1
Cross Research S.A.,Cross Research S.A.,5126,Green Cross Corporation,2
"CrossComm, Inc.","CrossComm, Inc.",3345,"CrossComm, Inc.",1
Crossject,Crossject,3346,Crossject,5
Crosstrees Medical Inc.,Crosstrees Medical Inc.,3347,Crosstrees Medical Inc.,1
"Crown Laboratories, Inc.","Crown Laboratories, Inc.",3348,"Crown Laboratories, Inc.",4
Crucell Holland BV,Crucell Holland BV,3349,Crucell Holland BV,37
Crux Biomedical,Crux Biomedical,3350,Crux Biomedical,4
CryoCord Sdn Bhd,CryoCord Sdn Bhd,3352,CryoCord Sdn Bhd,1
CryoLife Europa,CryoLife Europa,3354,"CryoLife, Inc.",4
"CryoLife, Inc.","CryoLife, Inc.",3354,"CryoLife, Inc.",10
Cryobeauty,Cryobeauty,3351,Cryobeauty,2
Cryonove Pharma,Cryonove Pharma,3355,Cryonove Pharma,9
Cryopraxis Criobiologia Ltda.,Cryopraxis Criobiologia Ltda.,3356,Cryopraxis Criobiologia Ltda.,1
Cryos International,Cryos International,3357,Cryos International,1
"Cryosa, Inc.","Cryosa, Inc.",3358,"Cryosa, Inc.",3
Cryotherapeutics SA,Cryotherapeutics SA,3359,Cryotherapeutics SA,2
"CrystalGenomics, Inc.","CrystalGenomics, Inc.",3360,"CrystalGenomics, Inc.",17
Cttq,Cttq,3375,Cttq,9
"Cubist Pharmaceuticals LLC, a subsidiary of Merck & Co., Inc. (Rahway, New Jersey USA)",Cubist Pharmaceuticals LLC,3376,"Cubist Pharmaceuticals LLC, a subsidiary of Merck & Co., Inc. (Rahway, New Jersey USA)",65
"Cuda Anesthetics, LLC","Cuda Anesthetics, LLC",3377,"Cuda Anesthetics, LLC",1
Cue Biopharma,Cue Biopharma,3378,Cue Biopharma,2
Cugene Inc.,Cugene Inc.,3379,Cugene Inc.,2
Cullinan Oncology Inc.,Cullinan Oncology Inc.,3380,Cullinan Oncology Inc.,7
Cultech Ltd,Cultech Ltd,3381,Cultech Ltd,2
Cumberland Pharmaceuticals,Cumberland Pharmaceuticals,3382,Cumberland Pharmaceuticals,49
Cupola Medical Ltd,Cupola Medical Ltd,3383,Cupola Medical Ltd,1
Cura Biotech LLC,Cura Biotech LLC,3384,Mentis Cura,1
CuraGen Corporation,CuraGen Corporation,3388,CuraGen Corporation,4
CuraLife,CuraLife,3389,CuraLife,2
"CuraSen Therapeutics, Inc.","CuraSen Therapeutics, Inc.",3391,"CuraSen Therapeutics, Inc.",4
CuraVac,CuraVac,3393,CuraVac,2
"Curacle Co., Ltd.","Curacle Co., Ltd.",3385,"Curacle Co., Ltd.",4
"Curadel Surgical Innovations, Inc.","Curadel Surgical Innovations, Inc.",3386,"Curadel Surgical Innovations, Inc.",1
"Curadim Pharma Co., Ltd.","Curadim Pharma Co., Ltd.",3387,"Curadim Pharma Co., Ltd.",1
Curaseal Inc.,Curaseal Inc.,3390,Curaseal Inc.,1
"Curatek Pharmaceuticals, LLC","Curatek Pharmaceuticals, LLC",3392,"Curatek Pharmaceuticals, LLC",3
"Curbell Medical Products, Inc.","Curbell Medical Products, Inc.",3394,"Curbell Medical Products, Inc.",1
Cure Cancer Worldwide Corporation,Cure Cancer Worldwide Corporation,3395,Cure Cancer Worldwide Corporation,1
"Cure Cancer Worldwide, LLC","Cure Cancer Worldwide, LLC",3395,Cure Cancer Worldwide Corporation,1
Cure Therapeutics,Cure Therapeutics,3395,Cure Cancer Worldwide Corporation,1
"Cure&Sure Biotech Co., LTD","Cure&Sure Biotech Co., LTD",3398,"Cure&Sure Biotech Co., LTD",4
CureDM,CureDM,3399,CureDM,2
CureLab Oncology,CureLab Oncology,3402,CureLab Oncology,1
CureTech Ltd,CureTech Ltd,3404,CureTech Ltd,3
CureVac,CureVac,3406,CureVac,17
Cureety,Cureety,3400,Cureety,1
Curegenix Inc.,Curegenix Inc.,3401,Curegenix Inc.,2
Curemark,Curemark,3403,Curemark,4
Curetis GmbH,Curetis GmbH,3405,Curetis GmbH,1
Curevo Inc,Curevo Inc,3407,Curevo Inc,2
Curewize Health Ltd.,Curewize Health Ltd.,3408,Curewize Health Ltd.,1
Curexo Technology Corporation,Curexo Technology Corporation,3409,Curexo Technology Corporation,1
"Curio Digital Therapeutics, Inc.","Curio Digital Therapeutics, Inc.",3410,"Curio Digital Therapeutics, Inc.",1
"Curis, Inc.","Curis, Inc.",3411,"Curis, Inc.",12
Curium PET France,Curium PET France,3413,Curium US LLC,1
Curium US LLC,Curium US LLC,3413,Curium US LLC,5
Curocell Inc.,Curocell Inc.,3414,Curocell Inc.,1
CuromeBiosciences,CuromeBiosciences,3415,CuromeBiosciences,1
Curon Biopharmaceutical (Australia) Co Pty Ltd,Curon Biopharmaceutical (Australia) Co Pty Ltd,3417,Curon Biopharmaceutical (Australia) Co Pty Ltd,3
"Curon Biopharmaceutical (Shanghai) Co.,Ltd","Curon Biopharmaceutical (Shanghai) Co.,Ltd",3417,Curon Biopharmaceutical (Australia) Co Pty Ltd,2
Curovir AB,Curovir AB,3418,Curovir AB,1
Currax Pharmaceuticals,Currax Pharmaceuticals,3419,Currax Pharmaceuticals,6
Current Health,Current Health,3420,Current Health,2
"CurvaFix, Inc.","CurvaFix, Inc.",3421,"CurvaFix, Inc.",1
Cutera Inc.,Cutera Inc.,3423,Cutera Inc.,41
"Cutia Therapeutics (Shanghai) Co., Ltd","Cutia Therapeutics (Shanghai) Co., Ltd",3425,"Cutia Therapeutics（Wuxi）Co.,Ltd",1
"Cutia Therapeutics（Wuxi）Co.,Ltd","Cutia Therapeutics（Wuxi）Co.,Ltd",3425,"Cutia Therapeutics（Wuxi）Co.,Ltd",6
Cutis Medical Laser Clinics Pte Ltd,Cutis Medical Laser Clinics Pte Ltd,3426,Cutis Medical Laser Clinics Pte Ltd,1
CutoSense Oy,CutoSense Oy,3428,CutoSense Oy,1
Cutting Edge SAS,Cutting Edge SAS,3965,Pacific Edge Limited,4
Cvaid Medical,Cvaid Medical,3431,Cvaid Medical,2
Cxlusa,Cxlusa,3435,Cxlusa,7
"CyDex Pharmaceuticals, Inc.","CyDex Pharmaceuticals, Inc.",3451,"CyDex Pharmaceuticals, Inc.",1
"CyMedica Orthopedics, Inc","CyMedica Orthopedics, Inc",3454,"CyMedica Orthopedics, Inc",3
CyanVac LLC,CyanVac LLC,3437,CyanVac LLC,2
Cyanotech Corporation,Cyanotech Corporation,3436,Cyanotech Corporation,1
Cyathus Exquirere Pharmaforschungsgmbh,Cyathus Exquirere Pharmaforschungsgmbh,3438,Cyathus Exquirere Pharmaforschungsgmbh,1
Cyban Pty Ltd,Cyban Pty Ltd,3439,Cyban Pty Ltd,1
Cyber Surgery S.L.,Cyber Surgery S.L.,3440,Cyber Surgery S.L.,1
"Cyberonics, Inc.","Cyberonics, Inc.",3441,"Cyberonics, Inc.",22
Cybin IRL Limited,Cybin IRL Limited,3443,Cybin IRL Limited,2
Cybin Therapeutics Inc.,Cybin Therapeutics Inc.,3443,Cybin IRL Limited,1
Cybrexa Therapeutics,Cybrexa Therapeutics,3444,Cybrexa Therapeutics,1
"Cyclacel Pharmaceuticals, Inc.","Cyclacel Pharmaceuticals, Inc.",3445,"Cyclacel Pharmaceuticals, Inc.",17
Cycle Clarity,Cycle Clarity,2995,Clarity Pharmaceuticals Ltd,1
Cycle Pharmaceuticals Ltd.,Cycle Pharmaceuticals Ltd.,3447,Cycle Pharmaceuticals Ltd.,6
Cyclerion Therapeutics,Cyclerion Therapeutics,3448,Cyclerion Therapeutics,11
"Cyclo Therapeutics, Inc.","Cyclo Therapeutics, Inc.",3449,"Cyclo Therapeutics, Inc.",6
Cyclomedica Australia PTY Limited,Cyclomedica Australia PTY Limited,3450,Cyclomedica Australia PTY Limited,2
Cylene Pharmaceuticals,Cylene Pharmaceuticals,3452,Cylene Pharmaceuticals,6
"CymaBay Therapeutics, Inc.","CymaBay Therapeutics, Inc.",3453,"CymaBay Therapeutics, Inc.",23
Cymra Life Sciences,Cymra Life Sciences,3455,Cymra Life Sciences,1
Cynata Therapeutics Limited,Cynata Therapeutics Limited,3456,Cynata Therapeutics Limited,4
"Cynosure, Inc.","Cynosure, Inc.",3170,"Cynosure, Inc.",52
Cynthia Harris,Cynthia Harris,3458,Cynthia Harris,1
Cynvenio Biosystems,Cynvenio Biosystems,3459,Cynvenio Biosystems,1
"Cypress Bioscience, Inc.","Cypress Bioscience, Inc.",3460,"Cypress Bioscience, Inc.",1
"Cyprium Therapeutics, Inc.","Cyprium Therapeutics, Inc.",3461,"Cyprium Therapeutics, Inc.",3
"Cyrano Therapeutics, Inc.","Cyrano Therapeutics, Inc.",3462,"Cyrano Therapeutics, Inc.",1
Cyrcadia Health,Cyrcadia Health,3463,Cyrcadia Health,1
Cyrenaic Pharmaceuticals,Cyrenaic Pharmaceuticals,3464,Cyrenaic Pharmaceuticals,1
"Cystetic Medicines, Inc.","Cystetic Medicines, Inc.",3465,"Cystetic Medicines, Inc.",1
CytRx,CytRx,3501,CytRx,12
CytaCoat AB,CytaCoat AB,3466,CytaCoat AB,2
Cytavis Biopharma GmbH,Cytavis Biopharma GmbH,3467,Cytavis Biopharma GmbH,2
"Cyteir Therapeutics, Inc.","Cyteir Therapeutics, Inc.",3468,"Cyteir Therapeutics, Inc.",1
Cytheris SA,Cytheris SA,3470,Cytheris SA,8
"Cytheris, Inc.","Cytheris, Inc.",3470,Cytheris SA,1
Cyto Therapeutics Pty Limited,Cyto Therapeutics Pty Limited,3471,Cytos Biotechnology AG,1
"CytoAgents, Inc.","CytoAgents, Inc.",3472,"CytoAgents, Inc.",1
CytoCares Inc,CytoCares Inc,3473,CytoCares Inc,1
"CytoCore, Inc.","CytoCore, Inc.",3475,"CytoCore, Inc.",2
"CytoDyn, Inc.","CytoDyn, Inc.",3476,"CytoDyn, Inc.",22
CytoMed Therapeutics Pte Ltd,CytoMed Therapeutics Pte Ltd,3482,CytoMed Therapeutics Pte Ltd,2
"CytoPherx, Inc","CytoPherx, Inc",3488,"CytoPherx, Inc",1
CytoSorbents Europe GmbH,CytoSorbents Europe GmbH,3495,"CytoSorbents, Inc",3
"CytoSorbents, Inc","CytoSorbents, Inc",3495,"CytoSorbents, Inc",9
CytoVac A/S,CytoVac A/S,3496,CytoVac A/S,6
"Cytocom, Inc.","Cytocom, Inc.",3474,"Cytocom, Inc.",1
Cytogen Corporation,Cytogen Corporation,3477,Cytogen Corporation,2
Cytograft Tissue Engineering,Cytograft Tissue Engineering,3478,Cytograft Tissue Engineering,1
Cytoki Pharma,Cytoki Pharma,3479,Cytoki Pharma,1
"Cytokind, Inc.","Cytokind, Inc.",3480,"Cytokind, Inc.",1
Cytokinetics,Cytokinetics,3481,Cytokinetics,38
CytomX Therapeutics,CytomX Therapeutics,3484,CytomX Therapeutics,7
Cytomedix,Cytomedix,3483,Cytomedix,7
Cytonet GmbH & Co. KG,Cytonet GmbH & Co. KG,3485,Cytonet GmbH & Co. KG,4
Cytonics Corporation,Cytonics Corporation,3486,Cytonics Corporation,3
Cytopeutics Sdn. Bhd.,Cytopeutics Sdn. Bhd.,3487,Cytopeutics Sdn. Bhd.,3
Cytora Ltd.,Cytora Ltd.,3489,Cytora Ltd.,2
Cytori Therapeutics,Cytori Therapeutics,3490,Cytori Therapeutics,17
Cytos Biotechnology AG,Cytos Biotechnology AG,3471,Cytos Biotechnology AG,18
"CytosinLab Therapeutics Co., Ltd.","CytosinLab Therapeutics Co., Ltd.",3492,"CytosinLab Therapeutics Co., Ltd.",1
Cytosite Biopharma Inc.,Cytosite Biopharma Inc.,3493,Cytosite Biopharma Inc.,2
"Cytovale, Inc.","Cytovale, Inc.",3497,"Cytovale, Inc.",2
Cytovation AS,Cytovation AS,3498,Cytovation AS,2
Cytran,Cytran,3499,Cytran,2
"Cytrellis Biosystems, Inc.","Cytrellis Biosystems, Inc.",3500,"Cytrellis Biosystems, Inc.",5
D-Pharm Ltd.,D-Pharm Ltd.,3502,D-Pharm Ltd.,6
"D. Western Therapeutics Institute, Inc.","D. Western Therapeutics Institute, Inc.",3503,"D. Western Therapeutics Institute, Inc.",1
"D.E.L., LLC","D.E.L., LLC",3504,"D.E.L., LLC",1
D.med,D.med,3506,D.med,2
D.med Consulting GmbH,D.med Consulting GmbH,3506,D.med,1
"D1 Medical Technology (Shanghai) Co., Ltd, China","D1 Medical Technology (Shanghai) Co., Ltd, China",3507,"D1 Medical Technology (Shanghai) Co., Ltd, China",2
D16 Pharma & Biotec Ltd.,D16 Pharma & Biotec Ltd.,3508,D16 Pharma & Biotec Ltd.,1
"D3 Bio (Wuxi) Co., Ltd","D3 Bio (Wuxi) Co., Ltd",3509,"D3 Bio (Wuxi) Co., Ltd",3
DARA Therapeutics,DARA Therapeutics,3561,DARA Therapeutics,1
"DAS-MG, Inc","DAS-MG, Inc",3568,"DAS-MG, Inc",1
DBV Technologies,DBV Technologies,3590,DBV Technologies,15
DC2 Healthcare,DC2 Healthcare,3591,DC2 Healthcare,3
DD-Hippero s.r.o.,DD-Hippero s.r.o.,3592,DD-Hippero s.r.o.,1
DEKA Biosciences,DEKA Biosciences,3614,Deka Research and Development,1
DEKA S.r.l.,DEKA S.r.l.,3614,Deka Research and Development,1
"DEKK-TEC, Inc.","DEKK-TEC, Inc.",3618,"DEKK-TEC, Inc.",7
DEO NV,DEO NV,3639,DEO NV,1
DESKi,DESKi,3670,DESKi,1
"DFB Soria, LLC","DFB Soria, LLC",3689,"DFB Soria, LLC",3
DFINE Inc.,DFINE Inc.,3690,DFINE Inc.,4
"DH Bio Co., Ltd.","DH Bio Co., Ltd.",3692,"DH Bio Co., Ltd.",1
"DIApedia, LLC","DIApedia, LLC",3725,"DIApedia, LLC",1
"DICE Therapeutics, Inc., a wholly owned subsidiary of Eli Lilly and Company","DICE Therapeutics, Inc.",3738,"DICE Therapeutics, Inc., a wholly owned subsidiary of Eli Lilly and Company",4
"DK Medical Technology (Suzhou) Co., Ltd.","DK Medical Technology (Suzhou) Co., Ltd.",3780,"DK Medical Technology (Suzhou) Co., Ltd.",5
DMF Medical Incorporated,DMF Medical Incorporated,3781,DMF Medical Incorporated,2
DMG Dental Material Gesellschaft mbH,DMG Dental Material Gesellschaft mbH,3782,DMG Dental Material Gesellschaft mbH,11
DNA Therapeutics,DNA Therapeutics,3783,DNA Therapeutics,1
DNAlytics,DNAlytics,3785,DNAlytics,2
"DNAtrix, Inc.","DNAtrix, Inc.",3786,"DNAtrix, Inc.",4
DNP Canada,DNP Canada,3787,DNP Canada,1
DNage B.V.,DNage B.V.,3784,DNage B.V.,2
DOMCA S.A.,DOMCA S.A.,3798,DOMCA S.A.,3
"DOV Pharmaceutical, Inc.","DOV Pharmaceutical, Inc.",3827,"DOV Pharmaceutical, Inc.",4
DS Biopharma,DS Biopharma,3878,DS Biopharma,6
"DSC Services, s.r.o.","DSC Services, s.r.o.",3879,"DSC Services, s.r.o.",1
DSM Food Specialties,DSM Food Specialties,3880,DSM Food Specialties,3
"DSM Nutritional Products, Inc.","DSM Nutritional Products, Inc.",3881,"DSM Nutritional Products, Inc.",36
DSP Industrial Ltda,DSP Industrial Ltda,3882,DSP Industrial Ltda,1
"DT MedTech, LLC","DT MedTech, LLC",3883,"DT MedTech, LLC",1
DTAMedical SAS,DTAMedical SAS,3884,DTAMedical SAS,1
"DUSA Pharmaceuticals, Inc.","DUSA Pharmaceuticals, Inc.",3899,"DUSA Pharmaceuticals, Inc.",11
"DVX, LLC","DVX, LLC",3900,"DVX, LLC",2
Da Volterra,Da Volterra,3510,Da Volterra,4
Da Zen Theranostics Inc,Da Zen Theranostics Inc,3511,Da Zen Theranostics Inc,1
Dabir Surfaces Inc,Dabir Surfaces Inc,3512,Dabir Surfaces Inc,1
"Daehwa Pharmaceutical Co., Ltd.","Daehwa Pharmaceutical Co., Ltd.",3513,"Daehwa Pharmaceutical Co., Ltd.",6
Daesang Wellife,Daesang Wellife,3514,Daesang Wellife,1
"Daewon Pharmaceutical Co., Ltd.","Daewon Pharmaceutical Co., Ltd.",3515,"Daewon Pharmaceutical Co., Ltd.",35
Daewoong Bio Inc.,Daewoong Bio Inc.,3516,Daewoong Pharmaceutical Co. LTD.,2
Daewoong Pharmaceutical Co. LTD.,Daewoong Pharmaceutical Co. LTD.,3516,Daewoong Pharmaceutical Co. LTD.,165
Dafra Pharma,Dafra Pharma,3518,Dafra Pharma,3
Daiichi Pharmaceuticals,Daiichi Pharmaceuticals,3520,Daiichi Sankyo,6
Daiichi Sankyo,Daiichi Sankyo,3520,Daiichi Sankyo,214
"Daiichi Sankyo (Thailand) Ltd., a Daiichi Sankyo Company","Daiichi Sankyo (Thailand) Ltd., a Daiichi Sankyo Company",3520,Daiichi Sankyo,1
Daiichi Sankyo Brasil Farmacêutica LTDA,Daiichi Sankyo Brasil Farmacêutica LTDA,3520,Daiichi Sankyo,1
"Daiichi Sankyo Co., Ltd.","Daiichi Sankyo Co., Ltd.",3520,Daiichi Sankyo,77
"Daiichi Sankyo Europe, GmbH, a Daiichi Sankyo Company","Daiichi Sankyo Europe, GmbH, a Daiichi Sankyo Company",3520,Daiichi Sankyo,16
Daiichi Sankyo France,Daiichi Sankyo France,3520,Daiichi Sankyo,1
"Daiichi Sankyo Hong Kong Ltd., a Daiichi Sankyo Company","Daiichi Sankyo Hong Kong Ltd., a Daiichi Sankyo Company",3520,Daiichi Sankyo,1
"Daiichi Sankyo Korea Co., Ltd., a Daiichi Sankyo Company","Daiichi Sankyo Korea Co., Ltd., a Daiichi Sankyo Company",3520,Daiichi Sankyo,1
"Daiichi Sankyo Taiwan Ltd., a Daiichi Sankyo Company","Daiichi Sankyo Taiwan Ltd., a Daiichi Sankyo Company",3520,Daiichi Sankyo,2
"Daiichi Sankyo Turkey, a Daiichi Sankyo Company","Daiichi Sankyo Turkey, a Daiichi Sankyo Company",3520,Daiichi Sankyo,1
"Daiichi Sankyo UK Ltd, a Daiichi Sankyo Company","Daiichi Sankyo UK Ltd, a Daiichi Sankyo Company",3520,Daiichi Sankyo,1
"Daiichi Sankyo, Inc.","Daiichi Sankyo, Inc.",3520,Daiichi Sankyo,52
Dainippon Sumitomo Pharma Europe LTd.,Dainippon Sumitomo Pharma Europe LTd.,3532,Dainippon Sumitomo Pharma Europe LTd.,1
"Dairy A Day, Inc.","Dairy A Day, Inc.",3533,"Dairy A Day, Inc.",1
Dairy Goat Co-operative (N.Z.) Limited,Dairy Goat Co-operative (N.Z.) Limited,3534,Dairy Goat Co-operative (N.Z.) Limited,2
"Daisy Pharma Opioid Venture, LLC","Daisy Pharma Opioid Venture, LLC",3535,"Daisy Pharma Opioid Venture, LLC",1
DalCor Pharmaceuticals,DalCor Pharmaceuticals,3536,DalCor Pharmaceuticals,3
"Dalian Holley Kingkong Pharmaceutical Co., Ltd","Dalian Holley Kingkong Pharmaceutical Co., Ltd",3537,"Dalian Holley Kingkong Pharmaceutical Co., Ltd",1
"Dalian Zhen-Ao Bio-Tech Co., Ltd.","Dalian Zhen-Ao Bio-Tech Co., Ltd.",3538,"Dalian Zhen-Ao Bio-Tech Co., Ltd.",2
"Dalim BioTech Co., Ltd.","Dalim BioTech Co., Ltd.",3539,"Dalim BioTech Co., Ltd.",1
"Dame Products, Inc.","Dame Products, Inc.",3540,"Dame Products, Inc.",1
Damian Pharma AG,Damian Pharma AG,3541,Damian Pharma AG,2
Dance Biopharm Inc.,Dance Biopharm Inc.,3542,Dance Biopharm Inc.,4
Daniel Griffin,Daniel Griffin,3543,Daniel Griffin,1
Danisco,Danisco,3544,Danisco,21
Danisco France SAS,Danisco France SAS,3544,Danisco,1
Danisco Sweeteners Oy,Danisco Sweeteners Oy,3546,Danisco Sweeteners Oy,1
"Danone Asia Pacific Holdings Pte, Ltd.","Danone Asia Pacific Holdings Pte, Ltd.",9228,"Danone Asia Pacific Holdings Pte, Ltd.",23
Danone Early Life Nutrition Brazil,Danone Early Life Nutrition Brazil,3548,Danone Early Life Nutrition Brazil,2
Danone Japan,Danone Japan,3553,Danone Research,4
Danone North America,Danone North America,3553,Danone Research,1
Danone Nutricia,Danone Nutricia,3552,Danone Nutricia,6
Danone Nutricia Research,Danone Nutricia Research,3552,Danone Nutricia,1
Danone Research,Danone Research,3553,Danone Research,32
Danone Spain,Danone Spain,3553,Danone Research,1
Danone Specialized Nutrition,Danone Specialized Nutrition,3555,Danone Specialized Nutrition Indonesia,2
Danone Specialized Nutrition (M) Sdn Bhd,Danone Specialized Nutrition (M) Sdn Bhd,3555,Danone Specialized Nutrition Indonesia,2
Danone Specialized Nutrition Indonesia,Danone Specialized Nutrition Indonesia,3555,Danone Specialized Nutrition Indonesia,3
"Dantari, Inc.","Dantari, Inc.",3558,"Dantari, Inc.",1
"Danube Pharmaceuticals, Inc.","Danube Pharmaceuticals, Inc.",3559,"Danube Pharmaceuticals, Inc.",1
"Danyang Huichuang Medical Equipment Co., Ltd.","Danyang Huichuang Medical Equipment Co., Ltd.",3560,"Danyang Huichuang Medical Equipment Co., Ltd.",1
Darier,Darier,3563,Darier,1
"Dark Canyon Laboratories, LLC","Dark Canyon Laboratories, LLC",2458,"Canyon Pharmaceuticals, Inc.",1
Darma Inc.,Darma Inc.,3565,Darma Inc.,4
Darnitsa Pharmaceutical Company,Darnitsa Pharmaceutical Company,3566,Darnitsa Pharmaceutical Company,6
"Dart NeuroScience, LLC","Dart NeuroScience, LLC",3567,"Dart NeuroScience, LLC",7
"Daré Bioscience, Inc.","Daré Bioscience, Inc.",3562,"Daré Bioscience, Inc.",9
Dascena,Dascena,3569,Dascena,14
Databean,Databean,3570,Databean,2
Datar Cancer Genetics Inc,Datar Cancer Genetics Inc,3572,Datar Cancer Genetics Inc,1
Datar Cancer Genetics Limited,Datar Cancer Genetics Limited,3572,Datar Cancer Genetics Inc,1
Datascope Corp.,Datascope Corp.,3573,Datascope Corp.,3
Datascope Patient Monitoring,Datascope Patient Monitoring,3574,Datascope Patient Monitoring,1
Datum Dental LTD,Datum Dental LTD,3575,Datum Dental LTD,2
Dauntless Pharmaceuticals,Dauntless Pharmaceuticals,3576,Dauntless Pharmaceuticals,1
Daval International Limited,Daval International Limited,3577,Daval International Limited,2
David L Zisow MD LLC,David L Zisow MD LLC,3578,David L Zisow MD LLC,1
David True,David True,3579,David True,1
"David Utley, MD","David Utley, MD",3580,"David Utley, MD",1
David Van Sickle,David Van Sickle,3581,David Van Sickle,1
Davita Clinical Research,Davita Clinical Research,3582,Davita Clinical Research,5
DawnLight,DawnLight,3583,DawnLight,1
Dawnrays Pharmaceutical (Holdings) Limited,Dawnrays Pharmaceutical (Holdings) Limited,3584,Hummingbird Bioscience,1
"Dawonmedax Co., Ltd.","Dawonmedax Co., Ltd.",3585,"Dawonmedax Co., Ltd.",1
Daxor Corporation,Daxor Corporation,3586,Daxor Corporation,4
"Day One Biopharmaceuticals, Inc.","Day One Biopharmaceuticals, Inc.",8961,"Oneness Biotech Co., Ltd.",4
DayTwo,DayTwo,3588,DayTwo,1
Dayzz Live Well Ltd.,Dayzz Live Well Ltd.,13015,Dayzz Live Well Ltd.,2
De Motu Cordis,De Motu Cordis,3593,De Motu Cordis,2
DeCell Technologies Inc.,DeCell Technologies Inc.,3598,DeCell Technologies Inc.,1
DePuy International,DePuy International,3641,DePuy Orthopaedics,42
DePuy Mitek,DePuy Mitek,3642,DePuy Mitek,3
DePuy Orthopaedics,DePuy Orthopaedics,3641,DePuy Orthopaedics,43
DePuy Spine,DePuy Spine,3641,DePuy Orthopaedics,11
"DePuy Synthes Products, Inc.","DePuy Synthes Products, Inc.",11802,Synthes GmbH,2
"DeRoyal Industries, Inc.","DeRoyal Industries, Inc.",3666,"DeRoyal Industries, Inc.",3
DeVilbiss Healthcare LLC,DeVilbiss Healthcare LLC,3681,DeVilbiss Healthcare LLC,2
"Deacon Biosciences, Inc.","Deacon Biosciences, Inc.",3594,"Deacon Biosciences, Inc.",1
Debiopharm International SA,Debiopharm International SA,3595,Debiopharm International SA,44
Debiovision,Debiovision,3596,Debiovision,1
Decathlon SE,Decathlon SE,3597,Decathlon SE,8
Decibel Therapeutics,Decibel Therapeutics,3599,Decibel Therapeutics,3
Deciphera Pharmaceuticals LLC,Deciphera Pharmaceuticals LLC,3600,Deciphera Pharmaceuticals LLC,15
Dedienne Sante S.A.S.,Dedienne Sante S.A.S.,3602,Dedienne Sante S.A.S.,3
Deep Brain Innovations LLC,Deep Brain Innovations LLC,3605,Deep Brain Innovations LLC,1
Deep Breeze,Deep Breeze,3604,Deep Breeze,9
Deep Health Ltd.,Deep Health Ltd.,3605,Deep Brain Innovations LLC,1
Deep Life Medical Ltd,Deep Life Medical Ltd,3605,Deep Brain Innovations LLC,1
DeepQure Inc.,DeepQure Inc.,3608,DeepQure Inc.,1
Deepecho,Deepecho,3607,Deepecho,1
Deepsonbio,Deepsonbio,3609,Deepsonbio,1
Deerland Enzymes,Deerland Enzymes,3610,Deerland Enzymes,8
Defined Research,Defined Research,3611,Defined Research,1
Defymed,Defymed,3612,Defymed,1
Deinove,Deinove,3613,Deinove,1
"Deka Medical, Inc.","Deka Medical, Inc.",3614,Deka Research and Development,1
